framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
284	35.374001	0.178000	8.973000	0.484000	47.348000	21.120216	171.359283	
285	33.466999	0.185000	9.790000	0.524000	46.341000	21.579163	182.398056	
286	22.214001	0.224000	12.864000	1.249000	39.360001	25.406504	270.600250	
287	20.488001	0.198000	12.962000	1.344000	37.950989	26.349775	295.041107	
288	28.613001	0.189000	11.449000	0.469000	43.769001	22.847219	212.865616	
289	33.549999	0.178000	9.603000	0.467000	45.820000	21.824532	184.413651	
290	33.421001	0.171000	9.594000	0.461000	45.973999	21.751425	183.189377	
291	31.983000	0.193000	10.510000	0.567000	45.104000	22.170982	194.312698	
292	30.027000	0.198000	11.062000	0.481000	43.647999	22.910559	205.046967	
293	31.580999	0.243000	10.483000	0.576000	44.537998	22.452738	197.354248	
294	30.261999	0.468000	10.803000	0.577000	43.900002	22.779043	203.646545	
295	31.695999	0.171000	10.456000	0.487000	44.582001	22.430576	194.993225	
296	31.389000	0.208000	10.550000	0.541000	44.311001	22.567759	199.323792	
297	30.337999	0.187000	11.213000	0.571000	43.766998	22.848265	204.833344	
298	28.091000	0.172000	11.569000	0.472000	42.695000	23.421947	214.615601	
299	21.569000	0.409000	10.818000	0.455000	35.000999	28.570612	278.284515	
300	30.804001	0.200000	12.665000	0.483000	45.801998	21.833109	199.747803	
301	27.468000	0.192000	12.212000	0.538000	42.186001	23.704546	225.330627	
302	26.782000	0.190000	12.019000	0.486000	41.749001	23.952669	227.276077	
303	28.775999	0.464000	11.139000	0.572000	42.841000	23.342125	212.880020	
304	29.218000	0.189000	11.117000	0.453000	43.279999	23.105362	208.983765	
305	31.676001	0.211000	10.121000	0.468000	45.301998	22.074081	190.852600	
306	28.530001	0.163000	10.303000	0.661000	42.594002	23.477484	208.291885	
307	21.511000	0.188000	12.653000	0.488000	36.703999	27.244987	286.417938	
308	27.895000	0.205000	12.458000	0.472000	42.971001	23.271509	221.725327	
309	28.103001	0.211000	11.336000	0.464000	43.119999	23.191095	212.671341	
310	30.982000	0.494000	10.366028	0.502000	45.067017	22.189177	190.713760	
311	31.903999	0.206000	10.134000	0.499000	44.643002	22.399927	193.547531	
312	31.503000	0.164000	10.426000	0.452000	44.710999	22.365862	193.654770	
313	30.507999	0.169000	10.918000	0.491000	44.361000	22.542324	199.989075	
314	32.159000	0.179000	9.301000	0.448000	43.948002	22.754164	192.246414	
315	31.962999	0.185000	10.382000	0.546000	44.937000	22.253376	193.684586	
316	30.152000	0.192000	10.947000	0.441000	43.702000	22.882248	202.917480	
317	25.247000	0.170000	11.447000	1.229000	40.096001	24.940144	241.570282	
318	18.025000	0.488000	12.954000	0.480000	33.308998	30.021917	341.129730	
319	19.438999	0.244000	12.661000	0.482000	35.042000	28.537184	315.899597	
320	18.105000	0.436000	12.682000	0.529000	34.861000	28.685350	325.055878	
321	28.840000	0.216000	11.455000	0.482000	42.980000	23.266636	219.750488	
322	31.455000	0.188000	10.608000	0.466000	44.560001	22.441650	196.460663	
323	30.221001	0.196000	11.020000	0.509000	43.848000	22.806057	204.760010	
324	30.885000	0.175000	10.062000	0.508000	44.471001	22.486565	193.333420	
325	29.576000	0.193000	11.177000	0.557000	43.657001	22.905834	206.378754	
326	30.164000	0.192000	10.785000	0.470000	43.659000	22.904785	205.495712	
327	30.622000	0.198000	10.765000	0.541000	43.854000	22.802937	204.042816	
328	29.731001	0.194000	11.143000	0.481000	43.353001	23.066454	209.233963	
329	31.135000	0.188000	10.958000	0.565000	44.179001	22.635189	203.225540	
330	26.084000	0.505000	12.251000	0.446000	40.855999	24.476210	237.395523	
331	30.097000	0.199000	11.101000	0.536000	43.852001	22.803976	205.764526	
332	29.889999	0.197000	10.977000	0.487000	43.798000	22.832092	204.806686	
333	29.568001	0.200000	10.902000	0.540000	43.315002	23.086689	208.457520	
334	22.164000	0.171000	13.092000	0.838000	38.554001	25.937645	277.266602	
335	16.986000	0.183000	12.665000	1.304000	34.068001	29.353058	351.635162	
336	15.308000	0.186000	12.739000	0.498000	31.208000	32.043064	404.621277	
337	24.059999	0.195000	12.596000	1.472000	40.445000	24.724936	262.078491	
338	18.348000	0.204000	12.661000	0.584000	34.603001	28.899227	316.058289	
339	29.718000	0.190000	12.581000	0.483000	45.137001	22.154772	205.858780	
340	19.056000	0.462000	12.672000	0.567000	34.866001	28.681236	314.777405	
341	21.677000	0.212000	13.409000	0.482000	36.796001	27.176867	295.706726	
342	19.695000	0.194000	12.626000	0.548000	35.171001	28.432514	312.743256	
343	17.270000	0.465000	12.617000	1.219000	34.882999	28.667259	351.066162	
344	25.422001	0.417000	14.685000	0.524000	43.966000	22.744848	238.051224	
345	20.615000	0.202000	12.670000	0.744000	35.581001	28.104887	306.421997	
346	25.073000	0.498000	12.594000	0.555000	41.505001	24.093483	240.177765	
347	29.658001	0.147000	10.811000	0.549000	43.212002	23.141720	207.460800	
348	20.405001	0.176000	12.635000	0.540000	36.195000	27.628126	294.640381	
349	17.107000	0.433000	12.671000	0.545000	33.854000	29.538607	331.513092	
350	18.788000	0.232000	12.796000	0.489000	34.390999	29.077375	329.931091	
351	17.980000	9.547000	12.708000	1.256000	33.946999	29.457685	341.964142	
352	27.091000	0.200000	13.103000	1.170000	43.407001	23.037758	228.705383	
353	26.410000	0.199000	12.966000	0.557000	41.139000	24.307835	240.904297	
354	27.325001	0.170000	11.435000	0.494000	41.084999	24.339785	226.948135	
355	19.790001	0.179000	12.649000	0.575000	35.341000	28.295748	306.631073	
356	16.986000	1.220000	12.632000	0.585000	32.152000	31.102264	377.298737	
357	18.976000	0.201000	12.630000	0.533000	34.902000	28.651653	337.271149	
358	25.327000	0.242000	13.153000	1.338000	43.717999	22.873875	229.113480	
359	19.497000	0.185000	12.604000	0.519000	34.703999	28.815123	321.747772	
360	28.315979	0.177000	12.272000	0.903000	44.367981	22.538776	214.272064	
361	43.016998	8.474000	8.560000	0.499000	53.431999	18.715376	146.756622	
