framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
629	14.386000	0.513000	3.715000	0.434000	21.202000	47.165363	115.430855
630	14.729000	0.499000	3.871000	0.346000	22.479000	44.485966	110.114105
631	13.649000	0.536000	3.722000	3.199000	22.280001	44.883301	135.270798
632	10.528000	0.199000	3.670000	4.480000	21.844000	45.779163	152.620682
633	11.164000	0.183000	3.694000	5.389000	21.868999	45.726830	165.532104
634	12.989000	0.486000	3.695000	4.194000	22.375999	44.690742	142.475067
635	11.732000	0.193000	3.735000	4.198000	21.790001	45.892609	150.293533
636	10.689000	0.199000	3.785000	4.908000	21.989000	45.477283	158.473053
637	9.204000	0.689000	3.704000	6.527000	22.377001	44.688740	173.216797
638	8.745000	0.184000	3.692000	5.280000	21.243999	47.072117	167.716110
639	10.330000	0.202000	3.777000	5.199000	21.517000	46.474880	164.336670
640	10.684000	0.220000	3.743000	5.876000	22.625999	44.196941	174.893250
641	8.011000	0.193000	3.699000	7.511000	21.599001	46.298439	209.216782
642	9.033000	0.497000	3.692000	5.948000	22.263000	44.917576	174.199020
643	6.988000	0.753000	7.773000	4.885000	22.514000	44.416809	242.143967
644	5.252000	0.162000	3.691000	10.314000	21.302999	46.941746	304.560486
645	5.519000	0.174000	3.695000	10.757000	22.003000	45.448349	329.436981
646	1.453000	0.217000	3.753000	13.338000	22.704000	44.045101	580.535400
647	1.523000	0.175000	3.697000	15.448000	22.037001	45.378227	1471.029541
648	0.390000	0.276000	3.761000	15.611000	21.218000	47.129795	7810.168945
649	0.406000	0.512000	3.719000	15.418000	21.865000	45.735195	7712.134277
650	0.580000	0.464000	3.749000	15.988000	22.268000	44.907490	7285.375000
651	4.791000	0.174000	3.721000	10.583000	20.504999	48.768597	393.761993
652	4.206000	0.238000	3.605000	0.558000	24.298000	41.155651	101.191322
653	13.592000	1.218000	3.712000	1.626000	21.169001	47.238884	126.289825
654	13.942000	0.202000	3.715000	1.001000	22.054001	45.343246	115.034630
655	14.920000	0.177000	2.442000	0.389000	33.838001	29.552572	62.375637
656	18.563999	0.208000	3.283000	0.429000	23.893999	41.851513	98.947823
657	17.900999	0.156000	3.476000	0.322000	23.223000	43.060760	100.825996
