framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
222	18.837999	0.186000	3.719000	0.363000	25.049999	39.920162	93.839722	
223	18.247000	0.185000	3.696000	0.340000	24.090000	41.511002	99.573227	
224	18.617001	0.220000	3.697000	1.120000	25.707001	38.899910	94.809937	
225	16.219999	0.182000	3.703000	0.348000	23.025999	43.429169	104.929985	
226	19.875999	0.520000	2.052000	0.316000	23.068001	43.350094	93.868408	
227	24.018982	0.193000	2.900000	0.405000	28.804016	34.717381	75.609184	
228	20.371000	0.207000	3.566000	0.341000	25.429001	39.325180	91.587578	
229	19.509001	0.185000	3.707000	0.643000	25.122000	39.805748	93.768127	
230	20.993000	0.215000	3.384000	0.328000	25.881001	38.638382	87.533844	
231	20.327999	0.190000	3.623000	0.351000	25.558001	39.126690	90.110001	
232	17.997000	0.187000	3.750000	0.479000	23.816999	41.986816	99.907860	
233	16.000000	0.670000	6.398000	0.909000	27.177000	36.795818	103.248940	
234	20.290001	0.193000	3.043000	0.345000	26.073000	38.353851	86.804176	
235	18.944000	0.202000	3.869000	0.456000	24.612000	40.630589	98.746376	
236	18.246000	0.205000	3.713000	1.110000	25.145000	39.769337	97.860374	
237	16.624001	0.561000	3.719000	0.403000	24.579000	40.685139	96.995209	
238	17.347000	0.428000	3.709000	0.387000	25.049000	39.921753	94.233124	
239	17.513000	0.299000	3.737000	0.379000	23.961000	41.734486	99.880783	
240	16.945000	0.203000	3.691000	0.676000	24.294001	41.162426	100.567436	
241	18.152000	0.822000	4.490000	0.361000	27.045000	36.975410	93.811073	
242	16.018999	0.201000	3.728000	0.393000	22.789000	43.880821	106.322105	
243	20.024000	0.186000	3.711000	1.080000	27.136999	36.850060	88.837479	
244	17.601999	0.232000	3.727000	0.387000	23.055000	43.374538	104.703468	
245	17.305000	0.205000	3.726000	1.094000	24.195000	41.330853	102.451233	
246	17.487000	0.417000	3.699000	1.151000	26.111000	38.298035	93.777664	
247	17.684000	0.175000	3.717000	0.356000	24.000999	41.664932	98.246361	
248	17.915001	0.206000	3.722000	1.089000	25.386999	39.390240	99.508713	
249	13.935000	0.189000	3.749000	1.878000	21.577999	46.343498	129.093704	
250	15.589000	0.257000	4.761000	1.296000	24.693001	40.497307	114.130035	
251	15.231000	4.193000	3.748000	0.351000	20.759001	48.171875	120.297607	
252	20.599001	0.220000	3.707000	1.063000	27.013000	37.019211	89.907814	
253	20.198999	0.206000	3.721000	0.363000	25.365000	39.424404	92.702309	
254	18.309999	0.189000	3.713000	0.647000	25.033001	39.947269	96.532944	
255	17.212000	0.178000	3.695000	0.351000	23.400999	42.733219	100.370285	
256	16.621000	0.209000	3.710000	0.639000	22.510000	44.424698	112.321747	
257	32.498001	0.247000	2.265000	0.688000	38.532001	25.952454	54.418236	
258	20.987000	0.212000	3.171000	0.404000	26.330000	37.979492	85.862022	
259	18.900000	0.194000	3.718000	0.375000	24.488001	40.836327	95.935051	
260	18.351999	0.515000	3.675000	0.454000	24.365000	41.042480	97.565109	
261	20.410999	0.243000	3.297000	0.351000	26.224001	38.133007	86.263863	
262	18.086000	0.201000	3.669000	0.391000	24.806999	40.311203	96.195404	
263	16.996000	0.185000	3.750000	0.361000	23.879999	41.876049	102.570953	
264	17.993999	0.200000	3.695000	1.129000	25.358000	39.435287	96.326103	
265	18.775999	0.457000	3.724000	0.335000	25.188999	39.699871	93.241600	
266	19.223999	0.203000	3.586000	0.326000	25.656006	38.977230	90.668594	
267	16.947001	0.229000	3.699000	0.357000	24.511000	40.798008	104.977783	
268	14.432000	1.601000	3.768000	0.852000	22.327000	44.788822	118.594780	
269	18.347000	0.187000	3.718000	1.102000	24.483999	40.843002	100.936417	
270	17.277000	0.175000	3.690000	0.623000	24.674999	40.526852	101.559311	
271	16.386999	0.474000	3.706000	0.357000	24.834000	40.267376	94.416557	
272	16.062000	0.462000	3.946000	0.336000	22.681999	44.087826	107.156555	
273	18.931999	0.202000	3.399000	0.365000	25.518999	39.186489	90.273293	
274	19.816000	0.190000	2.881000	0.401000	26.915001	37.154003	83.101891	
275	18.702000	0.195000	3.720000	0.396000	24.443001	40.911507	95.671127	
276	18.957001	0.218000	3.709000	0.395000	25.507999	39.203388	96.512726	
277	16.035000	0.187000	3.689000	0.320000	21.490999	46.531109	114.101776	
278	19.431999	0.464000	3.678000	0.434000	26.261999	38.077831	88.275864	
279	17.759001	0.215000	3.757000	1.103000	24.657000	40.556435	103.405327	
280	21.128000	0.212000	2.804000	0.360000	27.149000	36.833771	84.233620	
281	20.125999	0.180000	3.692000	0.414000	25.430000	39.323631	92.590546	
282	19.745001	0.182000	2.965000	0.389000	25.987000	38.480778	86.918800	
283	16.577999	4.242000	3.756000	0.632000	25.002001	39.996799	97.570267	
284	20.025000	0.179000	3.376000	0.342000	25.844000	38.693703	87.800697	
285	18.681000	0.183000	3.729000	0.343000	25.292000	39.538193	93.109726	
